Any,Mes,Desc_Mes,Precipitacions,Temperatura mediana
1786,1,Gener,32.8,7.8
1786,2,Febrer,28.4,8.3
1786,3,Març,84.4,9.9
1786,4,Abril,42.3,12.8
1786,5,Maig,8.5,16.8
1786,6,Juny,38.0,20.2
1786,7,Juliol,6.8,20.9
1786,8,Agost,52.1,21.1
1786,9,Setembre,62.0,19.5
1786,10,Octubre,57.0,15.5
1786,11,Novembre,195.8,9.2
1786,12,Desembre,114.1,8.3
1787,1,Gener,136.4,5.4
1787,2,Febrer,27.4,7.8
1787,3,Març,44.6,11.3
1787,4,Abril,76.9,12.1
1787,5,Maig,0.0,14.7
1787,6,Juny,29.8,19.2
1787,7,Juliol,34.7,21.0
1787,8,Agost,14.9,21.8
1787,9,Setembre,205.8,19.4
1787,10,Octubre,12.4,15.5
1787,11,Novembre,42.2,9.3
1787,12,Desembre,0.0,10.8
1788,1,Gener,9.9,6.4
1788,2,Febrer,14.9,10.1
1788,3,Març,32.2,10.4
1788,4,Abril,12.4,12.5
1788,5,Maig,7.5,17.1
1788,6,Juny,146.3,19.2
1788,7,Juliol,59.4,22.1
1788,8,Agost,29.8,23.0
1788,9,Setembre,123.9,19.1
1788,10,Octubre,163.6,15.5
1788,11,Novembre,106.6,10.5
1788,12,Desembre,22.3,5.4
1789,1,Gener,12.4,6.9
1789,2,Febrer,12.4,9.3
1789,3,Març,23.6,8.7
1789,4,Abril,9.9,13.3
1789,5,Maig,32.2,17.7
1789,6,Juny,9.9,18.5
1789,7,Juliol,6.3,20.9
1789,8,Agost,69.4,21.9
1789,9,Setembre,18.7,20.0
1789,10,Octubre,52.1,14.7
1789,11,Novembre,18.7,7.8
1789,12,Desembre,76.9,7.3
1790,1,Gener,44.6,7.4
1790,2,Febrer,1.2,9.5
1790,3,Març,188.5,10.4
1790,4,Abril,74.4,12.3
1790,5,Maig,44.7,15.0
1790,6,Juny,39.7,19.0
1790,7,Juliol,65.7,20.8
1790,8,Agost,32.3,23.1
1790,9,Setembre,71.9,19.3
1790,10,Octubre,205.8,17.1
1790,11,Novembre,72.0,11.7
1790,12,Desembre,14.9,7.9
1791,1,Gener,9.9,9.5
1791,2,Febrer,34.7,6.9
1791,3,Març,9.9,11.1
1791,4,Abril,31.1,14.7
1791,5,Maig,148.8,13.7
1791,6,Juny,2.5,18.4
1791,7,Juliol,1.2,21.2
1791,8,Agost,1.2,23.6
1791,9,Setembre,119.0,20.7
1791,10,Octubre,89.2,14.7
1791,11,Novembre,109.1,9.9
1791,12,Desembre,34.7,8.9
1792,1,Gener,8.7,8.7
1792,2,Febrer,9.9,8.9
1792,3,Març,27.4,11.4
1792,4,Abril,6.3,14.0
1792,5,Maig,19.9,16.2
1792,6,Juny,29.8,19.5
1792,7,Juliol,2.5,21.9
1792,8,Agost,1.2,22.6
1792,9,Setembre,86.8,17.9
1792,10,Octubre,47.1,15.7
1792,11,Novembre,44.7,10.8
1792,12,Desembre,7.5,8.1
1793,1,Gener,1.2,6.7
1793,2,Febrer,54.6,8.8
1793,3,Març,67.0,9.6
1793,4,Abril,94.2,11.0
1793,5,Maig,54.6,14.9
1793,6,Juny,7.5,18.4
1793,7,Juliol,63.2,23.1
1793,8,Agost,4.9,23.5
1793,9,Setembre,60.8,18.9
1793,10,Octubre,63.3,16.5
1793,11,Novembre,218.1,11.6
1793,12,Desembre,47.1,8.5
1794,1,Gener,37.3,7.0
1794,2,Febrer,9.9,9.7
1794,3,Març,33.5,11.2
1794,4,Abril,14.9,14.5
1794,5,Maig,148.8,15.8
1794,6,Juny,109.1,18.5
1794,7,Juliol,0.0,23.8
1794,8,Agost,34.7,22.5
1794,9,Setembre,49.7,19.2
1794,10,Octubre,84.3,15.0
1794,11,Novembre,24.8,11.8
1794,12,Desembre,106.6,7.0
1795,1,Gener,108.0,6.3
1795,2,Febrer,17.4,8.3
1795,3,Març,19.9,9.7
1795,4,Abril,32.3,12.7
1795,5,Maig,0.0,17.9
1795,6,Juny,82.0,17.8
1795,7,Juliol,62.1,19.9
1795,8,Agost,2.5,22.3
1795,9,Setembre,90.4,19.8
1795,10,Octubre,32.3,17.7
1795,11,Novembre,76.9,9.0
1795,12,Desembre,32.3,9.7
1796,1,Gener,43.5,9.0
1796,2,Febrer,47.1,7.9
1796,3,Març,59.4,6.7
1796,4,Abril,111.6,12.1
1796,5,Maig,64.5,15.5
1796,6,Juny,14.9,19.4
1796,7,Juliol,0.0,21.0
1796,8,Agost,94.2,21.9
1796,9,Setembre,42.2,19.2
1796,10,Octubre,14.9,15.3
1796,11,Novembre,69.4,9.3
1796,12,Desembre,62.0,7.7
1797,1,Gener,39.7,6.8
1797,2,Febrer,4.9,8.7
1797,3,Març,143.8,8.3
1797,4,Abril,49.7,12.2
1797,5,Maig,106.6,16.4
1797,6,Juny,57.0,17.0
1797,7,Juliol,0.0,22.3
1797,8,Agost,0.0,23.3
1797,9,Setembre,52.1,19.3
1797,10,Octubre,54.6,14.5
1797,11,Novembre,34.7,10.3
1797,12,Desembre,12.4,9.4
1798,1,Gener,0.0,7.1
1798,2,Febrer,9.9,8.6
1798,3,Març,12.4,9.9
1798,4,Abril,46.5,12.7
1798,5,Maig,39.4,16.6
1798,6,Juny,60.2,19.9
1798,7,Juliol,35.2,22.9
1798,8,Agost,6.4,23.7
1798,9,Setembre,84.2,20.6
1798,10,Octubre,87.6,17.4
1798,11,Novembre,40.3,12.1
1798,12,Desembre,74.1,9.4
1799,1,Gener,14.6,7.4
1799,2,Febrer,0.3,11.7
1799,3,Març,0.0,10.7
1799,4,Abril,81.3,12.3
1799,5,Maig,50.0,15.6
1799,6,Juny,35.6,18.7
1799,7,Juliol,32.2,22.0
1799,8,Agost,9.9,22.0
1799,9,Setembre,57.0,19.6
1799,10,Octubre,39.7,15.9
1799,11,Novembre,44.6,11.9
1799,12,Desembre,141.3,6.2
1800,1,Gener,52.1,7.5
1800,2,Febrer,59.4,8.9
1800,3,Març,39.7,9.1
1800,4,Abril,29.8,13.3
1800,5,Maig,42.2,16.4
1800,6,Juny,44.6,17.9
1800,7,Juliol,0.0,23.2
1800,8,Agost,0.0,22.3
1800,9,Setembre,71.9,18.8
1800,10,Octubre,121.4,14.5
1800,11,Novembre,34.7,10.1
1800,12,Desembre,106.6,8.2
1801,1,Gener,7.5,7.2
1801,2,Febrer,29.8,7.7
1801,3,Març,79.3,10.7
1801,4,Abril,101.6,11.7
1801,5,Maig,29.8,16.0
1801,6,Juny,34.7,19.0
1801,7,Juliol,2.5,21.2
1801,8,Agost,2.5,22.4
1801,9,Setembre,138.9,18.6
1801,10,Octubre,163.6,14.4
1801,11,Novembre,126.5,9.8
1801,12,Desembre,19.9,9.3
1802,1,Gener,94.2,3.6
1802,2,Febrer,27.4,7.1
1802,3,Març,27.4,9.0
1802,4,Abril,32.2,12.3
1802,5,Maig,27.4,15.2
1802,6,Juny,1.2,20.6
1802,7,Juliol,24.8,21.4
1802,8,Agost,2.5,23.7
1802,9,Setembre,4.9,21.0
1802,10,Octubre,146.3,15.9
1802,11,Novembre,106.6,10.9
1802,12,Desembre,29.8,8.1
1803,1,Gener,74.4,6.9
1803,2,Febrer,4.9,5.0
1803,3,Març,69.4,8.1
1803,4,Abril,76.9,12.7
1803,5,Maig,34.7,14.2
1803,6,Juny,2.5,20.5
1803,7,Juliol,4.9,22.4
1803,8,Agost,71.9,23.2
1803,9,Setembre,111.6,18.9
1803,10,Octubre,52.1,15.0
1803,11,Novembre,42.2,11.1
1803,12,Desembre,12.4,8.2
1804,1,Gener,25.9,9.7
1804,2,Febrer,12.4,6.0
1804,3,Març,47.1,9.6
1804,4,Abril,66.9,11.7
1804,5,Maig,29.8,17.2
1804,6,Juny,1.2,21.3
1804,7,Juliol,62.0,21.0
1804,8,Agost,2.5,21.6
1804,9,Setembre,7.5,20.4
1804,10,Octubre,151.6,15.0
1804,11,Novembre,119.0,12.1
1804,12,Desembre,114.1,9.5
1805,1,Gener,49.7,6.7
1805,2,Febrer,49.7,8.1
1805,3,Març,29.8,9.9
1805,4,Abril,9.9,11.1
1805,5,Maig,54.6,15.1
1805,6,Juny,37.3,18.4
1805,7,Juliol,4.9,21.3
1805,8,Agost,69.4,21.6
1805,9,Setembre,114.1,19.5
1805,10,Octubre,4.9,14.7
1805,11,Novembre,141.3,10.9
1805,12,Desembre,32.2,6.5
1806,1,Gener,69.4,6.8
1806,2,Febrer,34.7,8.3
1806,3,Març,39.7,9.9
1806,4,Abril,126.5,9.5
1806,5,Maig,22.3,15.4
1806,6,Juny,27.4,20.5
1806,7,Juliol,19.9,21.5
1806,8,Agost,12.4,21.6
1806,9,Setembre,59.4,17.9
1806,10,Octubre,44.6,16.3
1806,11,Novembre,84.3,10.4
1806,12,Desembre,1.2,9.4
1807,1,Gener,104.2,6.6
1807,2,Febrer,0.8,8.0
1807,3,Març,133.8,6.4
1807,4,Abril,29.8,10.0
1807,5,Maig,2.5,16.5
1807,6,Juny,1.2,19.9
1807,7,Juliol,27.4,22.6
1807,8,Agost,27.4,23.8
1807,9,Setembre,12.4,19.5
1807,10,Octubre,79.3,17.2
1807,11,Novembre,79.3,9.8
1807,12,Desembre,7.5,6.5
1808,1,Gener,4.9,5.4
1808,2,Febrer,19.9,5.2
1808,3,Març,123.9,8.8
1808,4,Abril,22.3,11.2
1808,5,Maig,86.8,15.9
1808,6,Juny,34.7,18.0
1808,7,Juliol,0.0,22.9
1808,8,Agost,49.9,22.1
1808,9,Setembre,97.2,18.7
1808,10,Octubre,116.9,13.4
1808,11,Novembre,76.2,9.7
1808,12,Desembre,35.8,6.1
1809,1,Gener,23.0,9.5
1809,2,Febrer,5.3,9.2
1809,3,Març,23.8,9.4
1809,4,Abril,42.2,9.4
1809,5,Maig,8.5,14.7
1809,6,Juny,48.4,18.2
1809,7,Juliol,33.6,19.6
1809,8,Agost,89.8,21.1
1809,9,Setembre,47.8,17.6
1809,10,Octubre,38.7,14.4
1809,11,Novembre,39.4,8.2
1809,12,Desembre,2.0,6.6
1810,1,Gener,29.8,5.6
1810,2,Febrer,11.6,5.8
1810,3,Març,40.1,11.0
1810,4,Abril,39.3,10.9
1810,5,Maig,114.7,14.7
1810,6,Juny,65.0,17.1
1810,7,Juliol,23.5,20.5
1810,8,Agost,47.5,20.9
1810,9,Setembre,192.7,18.1
1810,10,Octubre,83.1,15.5
1810,11,Novembre,20.1,10.7
1810,12,Desembre,0.0,8.1
1811,1,Gener,28.3,5.3
1811,2,Febrer,160.8,9.9
1811,3,Març,13.4,10.6
1811,4,Abril,40.1,13.1
1811,5,Maig,138.1,17.1
1811,6,Juny,41.0,20.7
1811,7,Juliol,35.0,22.1
1811,8,Agost,61.1,20.9
1811,9,Setembre,104.9,19.0
1811,10,Octubre,106.3,17.6
1811,11,Novembre,0.0,11.1
1811,12,Desembre,0.0,8.2
1812,1,Gener,17.4,4.8
1812,2,Febrer,2.5,9.1
1812,3,Març,4.9,9.4
1812,4,Abril,62.0,10.5
1812,5,Maig,29.8,14.5
1812,6,Juny,2.5,19.1
1812,7,Juliol,12.4,20.3
1812,8,Agost,19.9,21.5
1812,9,Setembre,76.9,18.7
1812,10,Octubre,42.2,14.4
1812,11,Novembre,17.4,10.7
1812,12,Desembre,29.8,7.5
1813,1,Gener,27.4,5.4
1813,2,Febrer,2.5,7.2
1813,3,Març,7.5,8.1
1813,4,Abril,22.3,11.6
1813,5,Maig,12.4,16.7
1813,6,Juny,14.9,17.4
1813,7,Juliol,9.9,18.7
1813,8,Agost,14.9,20.3
1813,9,Setembre,101.6,17.2
1813,10,Octubre,54.6,15.2
1813,11,Novembre,4.9,10.4
1813,12,Desembre,12.4,7.8
1814,1,Gener,24.8,6.5
1814,2,Febrer,2.5,5.3
1814,3,Març,86.8,7.3
1814,4,Abril,76.9,11.6
1814,5,Maig,59.4,13.9
1814,6,Juny,37.3,17.2
1814,7,Juliol,17.4,19.7
1814,8,Agost,22.3,20.1
1814,9,Setembre,99.2,17.3
1814,10,Octubre,94.2,13.8
